antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Growth_Inc', 'Remote_High'})",frozenset({'Risk_High'}),0.12263333333333333,0.40023333333333333,0.05043333333333333,0.4112530578961674,1.0275332503443844,1.0,0.0013513855555555565,1.0187172514619882,0.030540804209596664,0.10675227545332673,0.018373352797478017,0.26863144274836687,"Growth_Inc, Remote_High",Risk_High
"frozenset({'Risk_High', 'Diversity_VHigh'})",frozenset({'Growth_Inc'}),0.0993,0.5045333333333333,0.05143333333333333,0.517959046659953,1.0266101611917673,1.0,0.00133317333333334,1.0278518105849583,0.028778077913189436,0.09310885831523052,0.027097107090863187,0.30995071783314776,"Diversity_VHigh, Risk_High",Growth_Inc
"frozenset({'Growth_Inc', 'Diversity_VHigh'})",frozenset({'Risk_High'}),0.12556666666666666,0.40023333333333333,0.05143333333333333,0.409609769046987,1.0234274232872167,1.0,0.0011773677777777783,1.0158817595923262,0.02617825959145373,0.10842526877942518,0.01563347253985492,0.26905906958220926,"Diversity_VHigh, Growth_Inc",Risk_High
"frozenset({'Risk_High', 'Exp_Senior'})",frozenset({'AI_Moderate'}),0.1925,0.3347333333333333,0.06593333333333333,0.3425108225108225,1.0232348810321326,1.0,0.0014971666666666605,1.011829075585989,0.02812047068840829,0.1429294024134692,0.011690784413502096,0.269741768554754,"Exp_Senior, Risk_High",AI_Moderate
"frozenset({'AI_High', 'Exp_Senior'})",frozenset({'Risk_High'}),0.15883333333333333,0.40023333333333333,0.065,0.40923399790136417,1.0224885431032669,1.0,0.0014296055555555603,1.0152355831853168,0.02614693674333073,0.1315611928214816,0.015006943647025237,0.28581963074879985,"AI_High, Exp_Senior",Risk_High
"frozenset({'Salary_VHigh', 'Growth_Inc'})",frozenset({'Risk_High'}),0.12343333333333334,0.40023333333333333,0.0505,0.4091277342695112,1.0222230389010858,1.0,0.0010978655555555564,1.015053001218769,0.024801207732287864,0.10672772102853116,0.014829768692565802,0.26765206568560096,"Growth_Inc, Salary_VHigh",Risk_High
"frozenset({'Risk_High', 'Growth_Inc'})",frozenset({'AI_Moderate'}),0.2018,0.3347333333333333,0.06903333333333334,0.3420878757846052,1.0219713476935028,1.0,0.001484146666666672,1.0111786090886266,0.026934334749565175,0.14766488413547238,0.011055029238308256,0.27416084687457704,"Growth_Inc, Risk_High",AI_Moderate
"frozenset({'Risk_High', 'Diversity_High'})",frozenset({'Growth_Dec'}),0.0994,0.49546666666666667,0.05023333333333333,0.505365526492287,1.0199788613272747,1.0,0.0009839466666666657,1.020012474576271,0.02174941692635491,0.09223330681192239,0.01961983316388819,0.30337571265410906,"Diversity_High, Risk_High",Growth_Dec
frozenset({'Finance'}),frozenset({'Risk_High'}),0.12403333333333333,0.40023333333333333,0.0506,0.40795485084654665,1.0192925398014825,1.0,0.0009577255555555594,1.013042109244969,0.021607423251486957,0.10682617874736101,0.012874202489657061,0.2671905510999619,Finance,Risk_High
"frozenset({'Growth_Dec', 'Diversity_Low'})",frozenset({'Risk_High'}),0.1235,0.40023333333333333,0.050366666666666664,0.4078272604588394,1.0189737497930524,1.0,0.000937849999999997,1.0128238377392889,0.02124409587346333,0.10640095767903666,0.01266146911383213,0.2668352592791407,"Diversity_Low, Growth_Dec",Risk_High
