Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
Environmental manager,Finance,Decreasing,High,144377.6,Bachelor’s Degree,6,4931,211,2.15,79.12,China,23.63,2,0.9201585360747735,2
"Editor, magazine features",Entertainment,Decreasing,Low,78296.42,Master’s Degree,20,9811,9962,56.82,71.28,India,25.97,2,0.8821974128771731,2
Senior tax professional/tax inspector,Finance,Decreasing,Moderate,145532.42,Bachelor’s Degree,7,5014,122,48.52,68.13,India,23.91,2,0.869724055078479,2
Civil Service fast streamer,Retail,Increasing,Low,35087.8,Master’s Degree,14,7508,9977,8.89,70.25,Brazil,79.42,2,0.869206744639926,2
Armed forces technical officer,Entertainment,Decreasing,Moderate,146169.12,High School,19,8625,9718,67.94,95.07,UK,20.49,2,0.8655529945691459,2
Land/geomatics surveyor,Education,Decreasing,Moderate,92882.07,Associate Degree,3,9837,2981,78.49,70.79,Australia,79.64,2,0.8613255069875068,2
Electronics engineer,Finance,Decreasing,High,135527.8,Master’s Degree,13,1496,6566,48.89,91.28,Canada,20.47,2,0.8593609635178497,2
Licensed conveyancer,Transportation,Increasing,Moderate,96689.7,PhD,20,3049,553,62.88,67.1,China,79.66,2,0.8523125176905928,2
Media buyer,Retail,Increasing,High,144047.66,Bachelor’s Degree,14,7135,853,16.25,91.36,UK,75.34,2,0.8491012414651598,2
Health service manager,Entertainment,Decreasing,High,142707.91,PhD,4,8220,2101,43.62,71.14,Canada,24.89,2,0.8481915955045781,2
"Embryologist, clinical",Manufacturing,Increasing,Low,144485.62,PhD,16,172,9775,31.7,94.21,China,24.01,2,0.8444582437415803,2
Product designer,IT,Increasing,High,138100.05,High School,18,8293,1237,52.17,79.21,Australia,76.71,2,0.8412059367019232,2
"Loss adjuster, chartered",Healthcare,Decreasing,Moderate,54463.16,Master’s Degree,20,9451,9929,88.11,88.1,India,33.87,2,0.8397417698103524,2
Dancer,Entertainment,Increasing,High,145643.1,Associate Degree,15,1809,9758,64.19,71.16,Brazil,57.96,2,0.8382955069014876,2
Corporate treasurer,Entertainment,Increasing,High,107189.78,PhD,2,4942,274,48.69,79.06,USA,71.54,2,0.8340335327933547,2
"Surveyor, building control",Healthcare,Increasing,High,131000.61,Associate Degree,7,7445,818,2.82,64.25,Australia,20.55,2,0.8329000504433108,2
